Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1782.73937036
FDW14,OUT017,1494.3981538
NCN55,OUT010,1925.9262961
FDQ58,OUT017,2530.75663772
FDY38,OUT027,5156.91446105
FDH56,OUT046,1989.17600162
FDL48,OUT018,605.326867083
FDC48,OUT027,2754.89981984
FDN33,OUT045,1636.7636674
FDA36,OUT017,3026.41061663
FDT44,OUT017,1988.8827329
FDQ56,OUT045,1463.25696947
NCC54,OUT019,1878.59157943
FDU11,OUT049,2005.28273453
DRL59,OUT013,883.986550467
FDM24,OUT049,2502.12314479
FDI57,OUT045,3255.70409454
DRC12,OUT018,2776.25953927
NCM42,OUT027,3177.449817
FDA46,OUT010,1178.07851285
FDA31,OUT013,2824.41166201
NCJ31,OUT035,3846.90592974
FDG52,OUT046,831.649868947
NCL19,OUT019,351.831074672
FDS10,OUT035,2925.70114552
FDX22,OUT010,1462.87595092
NCF19,OUT035,830.140575485
NCE06,OUT046,2586.53948645
DRC27,OUT046,3883.89060652
FDE21,OUT035,1953.6094075
NCR42,OUT019,-1387.76330015
FDX51,OUT018,2858.22729672
NCR06,OUT018,421.774299579
FDU31,OUT027,4950.55292431
FDU59,OUT017,2674.05319591
FDR03,OUT027,4726.59646289
FDS49,OUT027,2762.85200144
FDD48,OUT010,-62.7837753467
NCF18,OUT017,3087.4081132
NCD43,OUT027,3079.87227823
NCD54,OUT018,1994.49092882
FDY19,OUT010,7.27683986718
NCY54,OUT017,2802.57201142
NCL19,OUT018,2039.1452791
FDP23,OUT010,1542.88007182
FDC26,OUT013,1838.14576611
FDR14,OUT010,-991.032147577
NCS41,OUT035,2964.13977918
FDF41,OUT035,3964.10235515
FDU34,OUT046,2043.1282086
DRH11,OUT046,985.426475735
FDM03,OUT013,1734.18652793
FDS31,OUT017,3004.21163846
FDJ20,OUT017,2091.812631
FDV44,OUT027,4498.38567708
FDG02,OUT049,3059.67608665
FDA09,OUT013,2910.23379114
FDT04,OUT013,661.831265366
FDL58,OUT019,2272.49114928
FDE52,OUT045,1527.53049281
FDW12,OUT035,2405.76292668
FDL51,OUT017,3483.2347847
NCY42,OUT027,3670.18016255
FDR07,OUT017,1654.36603077
FDN40,OUT045,2473.15950652
FDB35,OUT027,2940.62617868
FDA22,OUT017,2698.58308332
NCL06,OUT046,4162.44210593
FDI35,OUT013,2894.99139416
NCW42,OUT045,3535.20905385
NCX06,OUT049,2883.9246511
FDC37,OUT027,3178.14185525
FDZ14,OUT018,1705.69657321
DRG49,OUT049,3918.60557956
NCG06,OUT045,4073.75370268
DRC36,OUT045,2850.59346234
FDV21,OUT019,79.2639427147
FDB53,OUT046,2402.00829819
DRP47,OUT019,2065.35956063
FDA14,OUT013,2310.83865831
DRC24,OUT035,2488.66359283
FDW21,OUT018,1389.78179355
NCH29,OUT046,1612.76567251
FDU58,OUT013,3049.70144906
FDY27,OUT017,2859.58549908
FDV56,OUT035,1876.16274268
FDT59,OUT046,3686.99654933
