Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1603.55773926
FDW14,OUT017,1411.76782227
NCN55,OUT010,608.43536377
FDQ58,OUT017,2554.99584961
FDY38,OUT027,6154.51953125
FDH56,OUT046,1884.38830566
FDL48,OUT018,572.209838867
FDC48,OUT027,2189.57470703
FDN33,OUT045,1483.53466797
FDA36,OUT017,3130.2355957
FDT44,OUT017,1929.27001953
FDQ56,OUT045,1323.98522949
NCC54,OUT019,548.686340332
FDU11,OUT049,2108.25195312
DRL59,OUT013,823.355041504
FDM24,OUT049,2442.45605469
FDI57,OUT045,3164.18457031
DRC12,OUT018,2845.84985352
NCM42,OUT027,2808.29638672
FDA46,OUT010,523.975036621
FDA31,OUT013,2866.06933594
NCJ31,OUT035,3823.6171875
FDG52,OUT046,777.295654297
NCL19,OUT019,417.026977539
FDS10,OUT035,2984.51123047
FDX22,OUT010,665.365234375
NCF19,OUT035,827.653503418
NCE06,OUT046,2475.63793945
DRC27,OUT046,3915.50610352
FDE21,OUT035,2041.44592285
NCR42,OUT019,34.9210662842
FDX51,OUT018,2859.22705078
NCR06,OUT018,476.419219971
FDU31,OUT027,5668.04541016
FDU59,OUT017,2504.60375977
FDR03,OUT027,5621.77832031
FDS49,OUT027,2252.32421875
FDD48,OUT010,368.576263428
NCF18,OUT017,3148.38037109
NCD43,OUT027,2673.78613281
NCD54,OUT018,1609.96411133
FDY19,OUT010,308.970458984
NCY54,OUT017,2854.83251953
NCL19,OUT018,2207.49609375
FDP23,OUT010,543.893310547
FDC26,OUT013,1843.54101562
FDR14,OUT010,68.0603256226
NCS41,OUT035,3231.89916992
FDF41,OUT035,3745.9453125
FDU34,OUT046,2017.88562012
DRH11,OUT046,897.849731445
FDM03,OUT013,1652.48327637
FDS31,OUT017,3050.59741211
FDJ20,OUT017,2065.17700195
FDV44,OUT027,5350.46240234
FDG02,OUT049,3158.76708984
FDA09,OUT013,3138.44018555
FDT04,OUT013,674.036193848
FDL58,OUT019,502.568481445
FDE52,OUT045,1415.92175293
FDW12,OUT035,2576.39428711
FDL51,OUT017,3544.10302734
NCY42,OUT027,3121.3215332
FDR07,OUT017,1501.43261719
FDN40,OUT045,2378.63891602
FDB35,OUT027,2469.40087891
FDA22,OUT017,2669.02758789
NCL06,OUT046,4128.02978516
FDI35,OUT013,3018.13964844
NCW42,OUT045,3594.63989258
NCX06,OUT049,3057.33935547
FDC37,OUT027,2658.1418457
FDZ14,OUT018,1748.96838379
DRG49,OUT049,3903.63842773
NCG06,OUT045,3707.60400391
DRC36,OUT045,2835.64599609
FDV21,OUT019,309.696838379
FDB53,OUT046,2485.76171875
DRP47,OUT019,700.498779297
FDA14,OUT013,2495.90478516
DRC24,OUT035,2569.34619141
FDW21,OUT018,1451.3248291
NCH29,OUT046,1563.33105469
FDU58,OUT013,3154.58374023
FDY27,OUT017,3012.34570312
FDV56,OUT035,1724.73620605
FDT59,OUT046,3972.13891602
FDB23,OUT046,3591.83032227
FDR49,OUT045,754.194824219
FDB03,OUT010,550.582946777
FDN39,OUT045,2653.18017578
FDX02,OUT027,5765.19628906
FDQ16,OUT027,2635.57788086
FDU35,OUT018,1392.64782715
NCT29,OUT013,2058.89819336
FDZ27,OUT046,776.998352051
FDN57,OUT017,2138.52441406
FDA03,OUT018,2133.70800781
FDZ36,OUT045,3023.4453125
NCU05,OUT013,1165.55456543
FDT39,OUT018,2086.03442383
FDK60,OUT017,1561.13146973
FDZ25,OUT017,2824.0859375
FDG12,OUT046,2035.77319336
DRB01,OUT019,499.054779053
NCC43,OUT027,5992.42675781
FDX13,OUT019,694.744934082
FDM22,OUT049,889.013977051
FDJ03,OUT027,1337.83227539
FDU14,OUT018,3669.66772461
FDB33,OUT010,414.351348877
FDP27,OUT046,3155.42456055
FDO38,OUT010,280.613952637
FDE28,OUT027,6135.73925781
FDO27,OUT035,1517.76916504
